Timestamp,MachineId,Load,VelRMS1 mm/s,VelRMS2 mm/s,AccRMS1 g,AccRMS2 g,Time
1631595420.0,995,,4.18,,0.907,,9-14-2021 6:57:00
1631595480.0,995,,4.09,,0.901,,9-14-2021 6:58:00
1631595540.0,995,,4.12,1.09,0.907,0.888,9-14-2021 6:59:00
1631595600.0,995,,,1.09,,0.887,9-14-2021 7:00:00
1631595660.0,995,,,1.09,,0.9,9-14-2021 7:01:00
1631595720.0,995,,,,,,9-14-2021 7:02:00
1631595780.0,995,,4.06,,0.903,,9-14-2021 7:03:00
1631595840.0,995,,3.93,,0.908,,9-14-2021 7:04:00
1631595900.0,995,,4.03,1.07,0.907,0.899,9-14-2021 7:05:00
1631595960.0,995,,,1.14,,0.91,9-14-2021 7:06:00
1631596020.0,995,,,1.09,,0.906,9-14-2021 7:07:00
1631596080.0,995,,,,,,9-14-2021 7:08:00
1631596140.0,995,,4.0,,0.908,,9-14-2021 7:09:00
1631596200.0,995,,3.96,,0.912,,9-14-2021 7:10:00
1631596260.0,995,,3.97,,0.909,,9-14-2021 7:11:00
1631596320.0,995,,,1.03,,0.899,9-14-2021 7:12:00
1631596380.0,995,,,1.1,,0.902,9-14-2021 7:13:00
1631596440.0,995,,,1.11,,0.898,9-14-2021 7:14:00
1631596500.0,995,,,,,,9-14-2021 7:15:00
1631596560.0,995,,4.12,,0.907,,9-14-2021 7:16:00
1631596620.0,995,,3.99,,0.911,,9-14-2021 7:17:00
1631596680.0,995,,3.92,1.13,0.912,0.901,9-14-2021 7:18:00
1631596740.0,995,,,1.09,,0.898,9-14-2021 7:19:00
1631596800.0,995,,,1.08,,0.894,9-14-2021 7:20:00
1631596860.0,995,,,,,,9-14-2021 7:21:00
1631596920.0,995,,3.98,,0.906,,9-14-2021 7:22:00
1631596980.0,995,,4.07,,0.911,,9-14-2021 7:23:00
1631597040.0,995,,4.04,1.1,0.909,0.913,9-14-2021 7:24:00
1631597100.0,995,,,1.09,,0.915,9-14-2021 7:25:00
1631597160.0,995,,,1.09,,0.91,9-14-2021 7:26:00
1631597220.0,995,,,,,,9-14-2021 7:27:00
1631597280.0,995,,3.93,,0.912,,9-14-2021 7:28:00
1631597340.0,995,,4.03,,0.905,,9-14-2021 7:29:00
1631597400.0,995,,4.12,1.13,0.91,0.904,9-14-2021 7:30:00
1631597460.0,995,,,1.09,,0.909,9-14-2021 7:31:00
1631597520.0,995,,,1.04,,0.905,9-14-2021 7:32:00
1631597580.0,995,,,,,,9-14-2021 7:33:00
1631597640.0,995,,4.06,,0.909,,9-14-2021 7:34:00
1631597700.0,995,,3.92,,0.907,,9-14-2021 7:35:00
1631597760.0,995,,3.99,1.07,0.909,0.919,9-14-2021 7:36:00
1631597820.0,995,,,1.07,,0.915,9-14-2021 7:37:00
1631597880.0,995,,,1.06,,0.915,9-14-2021 7:38:00
1631597940.0,995,,,,,,9-14-2021 7:39:00
1631598000.0,995,,3.96,,0.912,,9-14-2021 7:40:00
1631598060.0,995,,3.98,,0.908,,9-14-2021 7:41:00
1631598120.0,995,,3.95,1.05,0.907,0.916,9-14-2021 7:42:00
1631598180.0,995,,,1.08,,0.912,9-14-2021 7:43:00
1631598240.0,995,,,1.08,,0.914,9-14-2021 7:44:00
1631598300.0,995,,,,,,9-14-2021 7:45:00
1631598360.0,995,,4.05,,0.905,,9-14-2021 7:46:00
1631598420.0,995,,4.0,,0.905,,9-14-2021 7:47:00
1631598480.0,995,,4.04,1.09,0.903,0.918,9-14-2021 7:48:00
1631598540.0,995,,,1.08,,0.916,9-14-2021 7:49:00
1631598600.0,995,,,1.07,,0.923,9-14-2021 7:50:00
1631598660.0,995,,,,,,9-14-2021 7:51:00
1631598720.0,995,,4.06,,0.902,,9-14-2021 7:52:00
1631598780.0,995,,3.95,,0.9,,9-14-2021 7:53:00
1631598840.0,995,,4.04,1.1,0.911,0.913,9-14-2021 7:54:00
1631598900.0,995,,,1.06,,0.917,9-14-2021 7:55:00
1631598960.0,995,,,1.07,,0.915,9-14-2021 7:56:00
1631599020.0,995,,,,,,9-14-2021 7:57:00
1631599080.0,995,,3.97,,0.907,,9-14-2021 7:58:00
1631599140.0,995,,4.04,,0.909,,9-14-2021 7:59:00
1631599200.0,995,,4.05,,0.909,,9-14-2021 8:00:00
1631599260.0,995,,4.05,1.08,0.909,0.922,9-14-2021 8:01:00
1631599320.0,995,,,1.07,,0.913,9-14-2021 8:02:00
1631599380.0,995,,,1.08,,0.919,9-14-2021 8:03:00
1631599440.0,995,,,,,,9-14-2021 8:04:00
1631599500.0,995,,4.01,,0.909,,9-14-2021 8:05:00
1631599560.0,995,,3.94,,0.907,,9-14-2021 8:06:00
1631599620.0,995,,4.03,1.09,0.911,0.918,9-14-2021 8:07:00
1631599680.0,995,,,1.1,,0.925,9-14-2021 8:08:00
1631599740.0,995,,,1.07,,0.924,9-14-2021 8:09:00
1631599800.0,995,,,,,,9-14-2021 8:10:00
1631599860.0,995,,3.84,,0.914,,9-14-2021 8:11:00
1631599920.0,995,,3.91,,0.906,,9-14-2021 8:12:00
1631599980.0,995,,3.8,1.03,0.911,0.912,9-14-2021 8:13:00
1631600040.0,995,,,1.03,,0.911,9-14-2021 8:14:00
1631600100.0,995,,,1.12,,0.91,9-14-2021 8:15:00
1631600160.0,995,,,,,,9-14-2021 8:16:00
1631600220.0,995,,4.08,,0.912,,9-14-2021 8:17:00
1631600280.0,995,,4.06,,0.91,,9-14-2021 8:18:00
1631600340.0,995,,4.01,1.09,0.909,0.916,9-14-2021 8:19:00
1631600400.0,995,,,1.07,,0.91,9-14-2021 8:20:00
1631600460.0,995,,,1.12,,0.915,9-14-2021 8:21:00
1631600520.0,995,,,,,,9-14-2021 8:22:00
1631600580.0,995,,4.04,,0.912,,9-14-2021 8:23:00
1631600640.0,995,,3.99,,0.909,,9-14-2021 8:24:00
1631600700.0,995,,4.06,1.1,0.91,0.921,9-14-2021 8:25:00
1631600760.0,995,,,1.09,,0.918,9-14-2021 8:26:00
1631600820.0,995,,,1.08,,0.921,9-14-2021 8:27:00
1631600880.0,995,,,,,,9-14-2021 8:28:00
1631600940.0,995,,3.98,,0.909,,9-14-2021 8:29:00
1631601000.0,995,,3.93,,0.912,,9-14-2021 8:30:00
1631601060.0,995,,3.98,1.08,0.914,0.922,9-14-2021 8:31:00
1631601120.0,995,,,1.12,,0.928,9-14-2021 8:32:00
1631601180.0,995,,,1.13,,0.935,9-14-2021 8:33:00
1631601240.0,995,,,,,,9-14-2021 8:34:00
1631601300.0,995,,3.94,,0.91,,9-14-2021 8:35:00
1631601360.0,995,,3.98,,0.911,,9-14-2021 8:36:00
1631601420.0,995,,4.07,,0.909,,9-14-2021 8:37:00
1631601480.0,995,,,1.07,,0.921,9-14-2021 8:38:00
1631601540.0,995,,,1.12,,0.928,9-14-2021 8:39:00
1631601600.0,995,,,1.05,,0.921,9-14-2021 8:40:00
1631601660.0,995,,,,,,9-14-2021 8:41:00
1631601720.0,995,,4.08,,0.909,,9-14-2021 8:42:00
1631601780.0,995,,4.01,,0.91,,9-14-2021 8:43:00
1631601840.0,995,,3.98,1.09,0.911,0.921,9-14-2021 8:44:00
1631601900.0,995,,,1.13,,0.928,9-14-2021 8:45:00
1631601960.0,995,,,1.1,,0.928,9-14-2021 8:46:00
1631602020.0,995,,,,,,9-14-2021 8:47:00
1631602080.0,995,,4.04,,0.914,,9-14-2021 8:48:00
1631602140.0,995,,4.15,,0.91,,9-14-2021 8:49:00
1631602200.0,995,,3.96,1.05,0.912,0.914,9-14-2021 8:50:00
1631602260.0,995,,,1.1,,0.92,9-14-2021 8:51:00
1631602320.0,995,,,1.12,,0.918,9-14-2021 8:52:00
1631602380.0,995,,,,,,9-14-2021 8:53:00
1631602440.0,995,,4.03,,0.909,,9-14-2021 8:54:00
1631602500.0,995,,4.0,,0.914,,9-14-2021 8:55:00
1631602560.0,995,,3.96,1.07,0.915,0.927,9-14-2021 8:56:00
1631602620.0,995,,,1.12,,0.927,9-14-2021 8:57:00
1631602680.0,995,,,1.08,,0.926,9-14-2021 8:58:00
1631602740.0,995,,,,,,9-14-2021 8:59:00
1631602800.0,995,,3.9,,0.907,,9-14-2021 9:00:00
1631602860.0,995,,3.93,,0.908,,9-14-2021 9:01:00
1631602920.0,995,,4.02,1.1,0.911,0.915,9-14-2021 9:02:00
1631602980.0,995,,,1.07,,0.917,9-14-2021 9:03:00
1631603040.0,995,,,1.07,,0.916,9-14-2021 9:04:00
1631603100.0,995,,,,,,9-14-2021 9:05:00
1631603160.0,995,,3.9,,0.913,,9-14-2021 9:06:00
1631603220.0,995,,3.98,,0.911,,9-14-2021 9:07:00
1631603280.0,995,,4.02,1.1,0.912,0.907,9-14-2021 9:08:00
1631603340.0,995,,,1.06,,0.904,9-14-2021 9:09:00
1631603400.0,995,,,1.16,,0.914,9-14-2021 9:10:00
1631603460.0,995,,,,,,9-14-2021 9:11:00
1631603520.0,995,,3.94,,0.912,,9-14-2021 9:12:00
1631603580.0,995,,4.07,,0.917,,9-14-2021 9:13:00
1631603640.0,995,,4.1,1.15,0.913,0.931,9-14-2021 9:14:00
1631603700.0,995,,,1.06,,0.928,9-14-2021 9:15:00
1631603760.0,995,,,1.21,,0.915,9-14-2021 9:16:00
1631603820.0,995,,,,,,9-14-2021 9:17:00
1631603880.0,995,,4.03,,0.909,,9-14-2021 9:18:00
1631603940.0,995,,4.08,,0.901,,9-14-2021 9:19:00
1631604000.0,995,,3.9,1.1,0.907,0.9,9-14-2021 9:20:00
1631604060.0,995,,,1.05,,0.901,9-14-2021 9:21:00
1631604120.0,995,,,1.08,,0.904,9-14-2021 9:22:00
1631604180.0,995,,,,,,9-14-2021 9:23:00
1631604240.0,995,,4.14,,0.908,,9-14-2021 9:24:00
1631604300.0,995,,4.13,,0.905,,9-14-2021 9:25:00
1631604360.0,995,,3.99,,0.906,,9-14-2021 9:26:00
1631604420.0,995,,3.99,1.08,0.906,0.91,9-14-2021 9:27:00
1631604480.0,995,,,1.13,,0.919,9-14-2021 9:28:00
1631604540.0,995,,,1.08,,0.915,9-14-2021 9:29:00
1631604600.0,995,,,,,,9-14-2021 9:30:00
1631604660.0,995,,4.05,,0.91,,9-14-2021 9:31:00
1631604720.0,995,,4.06,,0.91,,9-14-2021 9:32:00
1631604780.0,995,,3.94,1.07,0.911,0.918,9-14-2021 9:33:00
1631604840.0,995,,,1.04,,0.914,9-14-2021 9:34:00
1631604900.0,995,,,1.07,,0.912,9-14-2021 9:35:00
1631604960.0,995,,,,,,9-14-2021 9:36:00
1631605020.0,995,,4.05,,0.916,,9-14-2021 9:37:00
1631605080.0,995,,3.98,,0.909,,9-14-2021 9:38:00
1631605140.0,995,,4.0,1.12,0.913,0.919,9-14-2021 9:39:00
1631605200.0,995,,,1.13,,0.916,9-14-2021 9:40:00
1631605260.0,995,,,1.09,,0.915,9-14-2021 9:41:00
1631605320.0,995,,,,,,9-14-2021 9:42:00
1631605380.0,995,,4.01,,0.913,,9-14-2021 9:43:00
1631605440.0,995,,4.08,,0.915,,9-14-2021 9:44:00
1631605500.0,995,,3.95,1.09,0.909,0.921,9-14-2021 9:45:00
1631605560.0,995,,,1.09,,0.918,9-14-2021 9:46:00
1631605620.0,995,,,1.06,,0.915,9-14-2021 9:47:00
1631605680.0,995,,,,,,9-14-2021 9:48:00
1631605740.0,995,,4.05,,0.912,,9-14-2021 9:49:00
1631605800.0,995,,4.09,,0.912,,9-14-2021 9:50:00
1631605860.0,995,,4.1,1.07,0.906,0.924,9-14-2021 9:51:00
1631605920.0,995,,,1.09,,0.926,9-14-2021 9:52:00
1631605980.0,995,,,1.15,,0.933,9-14-2021 9:53:00
1631606040.0,995,,,,,,9-14-2021 9:54:00
1631606100.0,995,,4.1,,0.916,,9-14-2021 9:55:00
1631606160.0,995,,4.09,,0.912,,9-14-2021 9:56:00
1631606220.0,995,,3.99,1.12,0.91,0.922,9-14-2021 9:57:00
1631606280.0,995,,,1.1,,0.924,9-14-2021 9:58:00
1631606340.0,995,,,1.13,,0.927,9-14-2021 9:59:00
1631606400.0,995,,,,,,9-14-2021 10:00:00
1631606460.0,995,,4.03,,0.908,,9-14-2021 10:01:00
1631606520.0,995,,4.02,,0.909,,9-14-2021 10:02:00
1631606580.0,995,,4.12,,0.905,,9-14-2021 10:03:00
1631606640.0,995,,,1.09,,0.918,9-14-2021 10:04:00
1631606700.0,995,,,1.07,,0.919,9-14-2021 10:05:00
1631606760.0,995,,,1.11,,0.923,9-14-2021 10:06:00
1631606820.0,995,,,,,,9-14-2021 10:07:00
1631606880.0,995,,4.64,,0.936,,9-14-2021 10:08:00
1631606940.0,995,,4.65,,0.99,,9-14-2021 10:09:00
1631607000.0,995,,4.32,1.14,0.96,0.763,9-14-2021 10:10:00
1631607060.0,995,,,1.16,,0.728,9-14-2021 10:11:00
1631607120.0,995,,,1.19,,0.728,9-14-2021 10:12:00
1631607180.0,995,,,,,,9-14-2021 10:13:00
1631607240.0,995,,4.1,,0.897,,9-14-2021 10:14:00
1631607300.0,995,,4.6,,0.957,,9-14-2021 10:15:00
1631607360.0,995,,4.02,1.09,0.895,0.733,9-14-2021 10:16:00
1631607420.0,995,,,1.14,,0.733,9-14-2021 10:17:00
1631607480.0,995,,,1.11,,0.733,9-14-2021 10:18:00
1631607540.0,995,,,,,,9-14-2021 10:19:00
1631607600.0,995,,4.05,,0.904,,9-14-2021 10:20:00
1631607660.0,995,,4.08,,0.906,,9-14-2021 10:21:00
1631607720.0,995,,4.06,1.11,0.899,0.76,9-14-2021 10:22:00
1631607780.0,995,,,1.09,,0.76,9-14-2021 10:23:00
1631607840.0,995,,,1.12,,0.768,9-14-2021 10:24:00
1631607900.0,995,,,,,,9-14-2021 10:25:00
1631607960.0,995,,4.01,,0.903,,9-14-2021 10:26:00
1631608020.0,995,,3.99,,0.903,,9-14-2021 10:27:00
1631608080.0,995,,4.03,1.07,0.906,0.785,9-14-2021 10:28:00
1631608140.0,995,,,1.13,,0.79,9-14-2021 10:29:00
1631608200.0,995,,,1.08,,0.786,9-14-2021 10:30:00
1631608260.0,995,,,,,,9-14-2021 10:31:00
1631608320.0,995,,4.02,,0.907,,9-14-2021 10:32:00
1631608380.0,995,,4.15,,0.904,,9-14-2021 10:33:00
1631608440.0,995,,4.08,1.06,0.905,0.803,9-14-2021 10:34:00
1631608500.0,995,,,1.08,,0.803,9-14-2021 10:35:00
1631608560.0,995,,,1.08,,0.802,9-14-2021 10:36:00
1631608620.0,995,,,,,,9-14-2021 10:37:00
1631608680.0,995,,4.19,,0.909,,9-14-2021 10:38:00
1631608740.0,995,,3.98,,0.911,,9-14-2021 10:39:00
1631608800.0,995,,4.13,1.08,0.917,0.818,9-14-2021 10:40:00
1631608860.0,995,,,1.08,,0.819,9-14-2021 10:41:00
1631608920.0,995,,,1.13,,0.814,9-14-2021 10:42:00
1631608980.0,995,,,,,,9-14-2021 10:43:00
1631609040.0,995,,4.06,,0.912,,9-14-2021 10:44:00
1631609100.0,995,,3.98,,0.911,,9-14-2021 10:45:00
1631609160.0,995,,4.07,1.07,0.911,0.823,9-14-2021 10:46:00
1631609220.0,995,,,1.07,,0.834,9-14-2021 10:47:00
1631609280.0,995,,,1.09,,0.831,9-14-2021 10:48:00
1631609340.0,995,,,,,,9-14-2021 10:49:00
1631609400.0,995,,4.11,,0.906,,9-14-2021 10:50:00
1631609460.0,995,,4.02,,0.908,,9-14-2021 10:51:00
1631609520.0,995,,3.95,,0.907,,9-14-2021 10:52:00
1631609580.0,995,,,1.09,,0.851,9-14-2021 10:53:00
1631609640.0,995,,,1.06,,0.853,9-14-2021 10:54:00
1631609700.0,995,,,1.09,,0.846,9-14-2021 10:55:00
1631609760.0,995,,,,,,9-14-2021 10:56:00
1631609820.0,995,,4.15,,0.906,,9-14-2021 10:57:00
1631609880.0,995,,4.17,,0.905,,9-14-2021 10:58:00
1631609940.0,995,,3.97,1.05,0.911,0.855,9-14-2021 10:59:00
1631610000.0,995,,,1.09,,0.851,9-14-2021 11:00:00
1631610060.0,995,,,1.11,,0.847,9-14-2021 11:01:00
1631610120.0,995,,,,,,9-14-2021 11:02:00
1631610180.0,995,,4.02,,0.919,,9-14-2021 11:03:00
1631610240.0,995,,4.09,,0.913,,9-14-2021 11:04:00
1631610300.0,995,,4.17,1.1,0.914,0.863,9-14-2021 11:05:00
1631610360.0,995,,,1.14,,0.864,9-14-2021 11:06:00
1631610420.0,995,,,1.1,,0.864,9-14-2021 11:07:00
1631610480.0,995,,,,,,9-14-2021 11:08:00
1631610540.0,995,,4.05,,0.916,,9-14-2021 11:09:00
1631610600.0,995,,4.07,,0.913,,9-14-2021 11:10:00
1631610660.0,995,,3.98,1.09,0.913,0.87,9-14-2021 11:11:00
1631610720.0,995,,,1.07,,0.878,9-14-2021 11:12:00
1631610780.0,995,,,1.11,,0.872,9-14-2021 11:13:00
1631610840.0,995,,,,,,9-14-2021 11:14:00
1631610900.0,995,,3.98,,0.907,,9-14-2021 11:15:00
1631610960.0,995,,4.02,,0.911,,9-14-2021 11:16:00
1631611020.0,995,,4.14,1.08,0.917,0.874,9-14-2021 11:17:00
1631611080.0,995,,,1.14,,0.877,9-14-2021 11:18:00
1631611140.0,995,,,1.09,,0.884,9-14-2021 11:19:00
1631611200.0,995,,,,,,9-14-2021 11:20:00
1631611260.0,995,,4.07,,0.921,,9-14-2021 11:21:00
1631611320.0,995,,4.01,,0.916,,9-14-2021 11:22:00
1631611380.0,995,,4.04,1.06,0.922,0.893,9-14-2021 11:23:00
1631611440.0,995,,,1.12,,0.885,9-14-2021 11:24:00
1631611500.0,995,,,1.19,,0.892,9-14-2021 11:25:00
1631611560.0,995,,,,,,9-14-2021 11:26:00
1631611620.0,995,,4.17,,0.919,,9-14-2021 11:27:00
1631611680.0,995,,4.04,,0.918,,9-14-2021 11:28:00
1631611740.0,995,,3.96,,0.919,,9-14-2021 11:29:00
1631611800.0,995,,,1.09,,0.889,9-14-2021 11:30:00
1631611860.0,995,,,1.11,,0.896,9-14-2021 11:31:00
1631611920.0,995,,,1.15,,0.893,9-14-2021 11:32:00
1631611980.0,995,,,,,,9-14-2021 11:33:00
1631612040.0,995,,4.06,,0.923,,9-14-2021 11:34:00
1631612100.0,995,,4.02,,0.912,,9-14-2021 11:35:00
1631612160.0,995,,3.94,1.12,0.919,0.904,9-14-2021 11:36:00
1631612220.0,995,,,1.1,,0.909,9-14-2021 11:37:00
1631612280.0,995,,,1.08,,0.915,9-14-2021 11:38:00
1631612340.0,995,,,,,,9-14-2021 11:39:00
1631612400.0,995,,3.99,,0.914,,9-14-2021 11:40:00
1631612460.0,995,,3.94,,0.917,,9-14-2021 11:41:00
1631612520.0,995,,4.06,1.1,0.919,0.9,9-14-2021 11:42:00
1631612580.0,995,,,1.09,,0.902,9-14-2021 11:43:00
1631612640.0,995,,,1.14,,0.899,9-14-2021 11:44:00
1631612700.0,995,,,,,,9-14-2021 11:45:00
1631612760.0,995,,4.17,,0.917,,9-14-2021 11:46:00
1631612820.0,995,,3.94,,0.918,,9-14-2021 11:47:00
1631612880.0,995,,3.89,1.09,0.917,0.917,9-14-2021 11:48:00
1631612940.0,995,,,1.13,,0.925,9-14-2021 11:49:00
1631613000.0,995,,,1.1,,0.921,9-14-2021 11:50:00
1631613060.0,995,,,,,,9-14-2021 11:51:00
1631613120.0,995,,4.18,,0.929,,9-14-2021 11:52:00
1631613180.0,995,,3.92,,0.92,,9-14-2021 11:53:00
1631613240.0,995,,4.03,1.13,0.92,0.91,9-14-2021 11:54:00
1631613300.0,995,,,1.1,,0.912,9-14-2021 11:55:00
1631613360.0,995,,,1.13,,0.919,9-14-2021 11:56:00
1631613420.0,995,,,,,,9-14-2021 11:57:00
1631613480.0,995,,4.05,,0.921,,9-14-2021 11:58:00
1631613540.0,995,,3.94,,0.921,,9-14-2021 11:59:00
1631613600.0,995,,4.0,1.1,0.924,0.909,9-14-2021 12:00:00
1631613660.0,995,,,1.11,,0.911,9-14-2021 12:01:00
1631613720.0,995,,,1.14,,0.919,9-14-2021 12:02:00
1631613780.0,995,,,,,,9-14-2021 12:03:00
1631613840.0,995,,3.97,,0.92,,9-14-2021 12:04:00
1631613900.0,995,,4.02,,0.923,,9-14-2021 12:05:00
1631613960.0,995,,3.97,1.19,0.924,0.929,9-14-2021 12:06:00
1631614020.0,995,,,1.15,,0.918,9-14-2021 12:07:00
1631614080.0,995,,,1.08,,0.924,9-14-2021 12:08:00
1631614140.0,995,,,,,,9-14-2021 12:09:00
1631614200.0,995,,4.01,,0.925,,9-14-2021 12:10:00
1631614260.0,995,,3.91,,0.929,,9-14-2021 12:11:00
1631614320.0,995,,4.03,1.1,0.918,0.924,9-14-2021 12:12:00
1631614380.0,995,,,1.1,,0.924,9-14-2021 12:13:00
1631614440.0,995,,,1.09,,0.93,9-14-2021 12:14:00
1631614500.0,995,,,,,,9-14-2021 12:15:00
1631614560.0,995,,4.03,,0.917,,9-14-2021 12:16:00
1631614620.0,995,,3.96,,0.924,,9-14-2021 12:17:00
1631614680.0,995,,3.98,,0.924,,9-14-2021 12:18:00
1631614740.0,995,,4.16,1.11,0.933,0.924,9-14-2021 12:19:00
1631614800.0,995,,,1.09,,0.928,9-14-2021 12:20:00
1631614860.0,995,,,1.06,,0.932,9-14-2021 12:21:00
1631614920.0,995,,,,,,9-14-2021 12:22:00
1631614980.0,995,,4.03,,0.927,,9-14-2021 12:23:00
1631615040.0,995,,3.98,,0.926,,9-14-2021 12:24:00
1631615100.0,995,,4.01,1.12,0.928,0.924,9-14-2021 12:25:00
1631615160.0,995,,,1.08,,0.937,9-14-2021 12:26:00
1631615220.0,995,,,1.07,,0.939,9-14-2021 12:27:00
1631615280.0,995,,,,,,9-14-2021 12:28:00
1631615340.0,995,,4.16,,0.935,,9-14-2021 12:29:00
1631615400.0,995,,4.06,,0.926,,9-14-2021 12:30:00
1631615460.0,995,,4.0,1.1,0.926,0.938,9-14-2021 12:31:00
1631615520.0,995,,,1.09,,0.951,9-14-2021 12:32:00
1631615580.0,995,,,1.11,,0.948,9-14-2021 12:33:00
1631615640.0,995,,,,,,9-14-2021 12:34:00
1631615700.0,995,,4.1,,0.926,,9-14-2021 12:35:00
1631615760.0,995,,4.03,,0.925,,9-14-2021 12:36:00
1631615820.0,995,,4.0,1.05,0.921,0.93,9-14-2021 12:37:00
1631615880.0,995,,,1.14,,0.943,9-14-2021 12:38:00
1631615940.0,995,,,1.13,,0.941,9-14-2021 12:39:00
1631616000.0,995,,,,,,9-14-2021 12:40:00
1631616060.0,995,,4.06,,0.929,,9-14-2021 12:41:00
1631616120.0,995,,3.92,,0.93,,9-14-2021 12:42:00
1631616180.0,995,,4.11,1.07,0.927,0.949,9-14-2021 12:43:00
1631616240.0,995,,,1.04,,0.947,9-14-2021 12:44:00
1631616300.0,995,,,1.13,,0.941,9-14-2021 12:45:00
1631616360.0,995,,,,,,9-14-2021 12:46:00
1631616420.0,995,,4.01,,0.93,,9-14-2021 12:47:00
1631616480.0,995,,4.0,,0.922,,9-14-2021 12:48:00
1631616540.0,995,,4.06,1.13,0.926,0.939,9-14-2021 12:49:00
1631616600.0,995,,,1.08,,0.938,9-14-2021 12:50:00
1631616660.0,995,,,1.09,,0.94,9-14-2021 12:51:00
1631616720.0,995,,,,,,9-14-2021 12:52:00
1631616780.0,995,,4.1,,0.924,,9-14-2021 12:53:00
1631616840.0,995,,4.12,,0.928,,9-14-2021 12:54:00
1631616900.0,995,,4.09,,0.924,,9-14-2021 12:55:00
1631616960.0,995,,,1.08,,0.947,9-14-2021 12:56:00
1631617020.0,995,,,1.1,,0.949,9-14-2021 12:57:00
1631617080.0,995,,,1.1,,0.949,9-14-2021 12:58:00
1631617140.0,995,,,,,,9-14-2021 12:59:00
1631617200.0,995,,4.05,,0.931,,9-14-2021 13:00:00
1631617260.0,995,,3.92,,0.933,,9-14-2021 13:01:00
1631617320.0,995,,3.97,1.12,0.929,0.966,9-14-2021 13:02:00
1631617380.0,995,,,1.08,,0.965,9-14-2021 13:03:00
1631617440.0,995,,,1.11,,0.96,9-14-2021 13:04:00
1631617500.0,995,,,,,,9-14-2021 13:05:00
1631617560.0,995,,4.04,,0.931,,9-14-2021 13:06:00
1631617620.0,995,,3.98,,0.927,,9-14-2021 13:07:00
1631617680.0,995,,4.13,1.07,0.934,0.963,9-14-2021 13:08:00
1631617740.0,995,,,1.08,,0.957,9-14-2021 13:09:00
1631617800.0,995,,,1.1,,0.955,9-14-2021 13:10:00
1631617860.0,995,,,,,,9-14-2021 13:11:00
1631617920.0,995,,3.98,,0.929,,9-14-2021 13:12:00
1631617980.0,995,,3.92,,0.933,,9-14-2021 13:13:00
1631618040.0,995,,4.15,1.11,0.928,0.95,9-14-2021 13:14:00
1631618100.0,995,,,1.12,,0.947,9-14-2021 13:15:00
1631618160.0,995,,,1.08,,0.948,9-14-2021 13:16:00
1631618220.0,995,,,,,,9-14-2021 13:17:00
1631618280.0,995,,4.04,,0.927,,9-14-2021 13:18:00
1631618340.0,995,,4.12,,0.932,,9-14-2021 13:19:00
1631618400.0,995,,4.2,1.09,0.928,0.948,9-14-2021 13:20:00
1631618460.0,995,,,1.11,,0.945,9-14-2021 13:21:00
1631618520.0,995,,,1.05,,0.945,9-14-2021 13:22:00
1631618580.0,995,,,,,,9-14-2021 13:23:00
1631618640.0,995,,3.99,,0.928,,9-14-2021 13:24:00
1631618700.0,995,,4.06,,0.93,,9-14-2021 13:25:00
1631618760.0,995,,3.98,1.09,0.927,0.951,9-14-2021 13:26:00
1631618820.0,995,,,1.04,,0.948,9-14-2021 13:27:00
1631618880.0,995,,,1.13,,0.948,9-14-2021 13:28:00
1631618940.0,995,,,,,,9-14-2021 13:29:00
1631619000.0,995,,4.05,,0.925,,9-14-2021 13:30:00
1631619060.0,995,,3.89,,0.922,,9-14-2021 13:31:00
1631619120.0,995,,4.1,1.08,0.927,0.936,9-14-2021 13:32:00
1631619180.0,995,,,1.06,,0.937,9-14-2021 13:33:00
1631619240.0,995,,,1.17,,0.937,9-14-2021 13:34:00
1631619300.0,995,,,,,,9-14-2021 13:35:00
1631619360.0,995,,4.03,,0.918,,9-14-2021 13:36:00
1631619420.0,995,,4.07,,0.929,,9-14-2021 13:37:00
1631619480.0,995,,3.97,1.13,0.921,0.926,9-14-2021 13:38:00
1631619540.0,995,,,1.09,,0.923,9-14-2021 13:39:00
1631619600.0,995,,,1.16,,0.922,9-14-2021 13:40:00
1631619660.0,995,,,,,,9-14-2021 13:41:00
1631619720.0,995,,4.01,,0.925,,9-14-2021 13:42:00
1631619780.0,995,,4.11,,0.927,,9-14-2021 13:43:00
1631619840.0,995,,3.94,,0.931,,9-14-2021 13:44:00
1631619900.0,995,,4.07,1.07,0.924,0.927,9-14-2021 13:45:00
1631619960.0,995,,,1.14,,0.935,9-14-2021 13:46:00
1631620020.0,995,,,1.1,,0.933,9-14-2021 13:47:00
1631620080.0,995,,,,,,9-14-2021 13:48:00
1631620140.0,995,,4.12,,0.918,,9-14-2021 13:49:00
1631620200.0,995,,4.01,,0.931,,9-14-2021 13:50:00
1631620260.0,995,,4.01,1.09,0.919,0.938,9-14-2021 13:51:00
1631620320.0,995,,,1.08,,0.929,9-14-2021 13:52:00
1631620380.0,995,,,1.07,,0.929,9-14-2021 13:53:00
1631620440.0,995,,,,,,9-14-2021 13:54:00
1631620500.0,995,,3.96,,0.922,,9-14-2021 13:55:00
1631620560.0,995,,3.92,,0.908,,9-14-2021 13:56:00
1631620620.0,995,,4.13,1.09,0.924,0.943,9-14-2021 13:57:00
1631620680.0,995,,,1.08,,0.936,9-14-2021 13:58:00
1631620740.0,995,,,1.08,,0.933,9-14-2021 13:59:00
